Year,Country,Region,Rank,Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Latitude,Longitude,Size,Continent
2021,Nepal,Southern Asia,87.0,5.269,0.519,0.702,0.496,0.488,0.135,0.287,2.642,28.394857,84.124008,9,Asia
2021,Bulgaria,Central and Eastern Europe,88.0,5.266,1.181,1.055,0.583,0.494,0.005,0.125,1.823,42.733883,25.48583,9,Europe
2021,Maldives,Southern Asia,89.0,5.198,1.115,1.015,0.697,0.575,0.073,0.204,1.52,3.202778,73.22068,9,Asia
2021,Azerbaijan,Central and Eastern Europe,90.0,5.171,1.025,0.841,0.541,0.526,0.276,0.043,1.919,40.143105,47.576927,9,Europe
2021,Cameroon,Sub-Saharan Africa,91.0,5.142,0.543,0.556,0.159,0.425,0.058,0.205,3.195,7.369722,12.354722,9,Africa
2021,Senegal,Sub-Saharan Africa,92.0,5.132,0.518,0.558,0.357,0.381,0.088,0.158,3.071,14.497401,-14.452362,9,Africa
2021,Albania,Central and Eastern Europe,93.0,5.117,1.008,0.529,0.646,0.491,0.024,0.168,2.25,41.153332,20.168331,9,Europe
2021,North Macedonia,Southeast Europe,94.0,5.101,1.068,0.772,0.535,0.45,0.022,0.212,2.042,41.6086,21.7453,9,Europe
2021,Ghana,Sub-Saharan Africa,95.0,5.088,0.68,0.595,0.287,0.517,0.058,0.268,2.684,7.946527,-1.023194,9,Africa
2021,Niger,Sub-Saharan Africa,96.0,5.074,0.162,0.402,0.167,0.516,0.157,0.2,3.47,17.607789,8.081666,9,Africa
2021,Turkmenistan,Central and Eastern Europe,97.0,5.066,1.046,1.172,0.439,0.602,0.033,0.366,1.409,38.969719,59.556278,9,Europe
2021,Gambia,Western Africa,98.0,5.051,0.367,0.511,0.21,0.384,0.123,0.465,2.99,13.443182,-15.310139,9,Africa
2021,Benin,Sub-Saharan Africa,99.0,5.045,0.507,0.058,0.196,0.457,0.178,0.166,3.482,9.30769,2.315834,9,Africa
2021,Laos,Southeastern Asia,100.0,5.03,0.808,0.598,0.33,0.643,0.179,0.268,2.204,19.85627,102.495496,9,Asia
2021,Bangladesh,Southern Asia,101.0,5.025,0.635,0.52,0.514,0.603,0.164,0.161,2.427,23.684994,90.356331,7,Asia
2021,Guinea,Sub-Saharan Africa,102.0,4.984,0.42,0.399,0.206,0.384,0.111,0.25,3.216,9.945587,-9.696645,7,Africa
